,participant,run_id,glacier_id,run_code,S_km2,start_date_yyyy-mm-dd,end_date_yyyy-mm-dd,dh_m,dh_sigma_m,dV_km3,dV_sigma_km3,start_date,end_date,color,sensor,start_date_str,end_date_str,delta_t,dh_dt,sigma_dh_dt
36,Dehecq,Dehecq - CTL,RGI60-14.06818,CTL,0.303,2000-09-11,2013-10-10,-4.239888936842768,36.69207263624661,-0.001284686347863359,0.011117698008782722,2000-09-11 00:00:00.000000000,2013-10-10 00:00:00.000000000,tab:green,AST,2000-09-11,2013-10-10,4777 days 00:00:00.000000000,-0.3241824228975971,2.8054803287396006
37,Dehecq,Dehecq - CTL,RGI60-14.06819,CTL,0.036000000000000004,2000-09-11,2013-10-10,-0.718839503340778,49.82912348973901,-2.5878222120268005e-05,0.0017938484456306038,2000-09-11 00:00:00.000000000,2013-10-10 00:00:00.000000000,tab:green,AST,2000-09-11,2013-10-10,4777 days 00:00:00.000000000,-0.0549625557034162,3.809940832034158
38,Dehecq,Dehecq - CTL,RGI60-14.06820,CTL,0.28800000000000003,2000-09-11,2013-10-10,-7.05835196415445,21.869193577518395,-0.002032805365676481,0.0062983277503253,2000-09-11 00:00:00.000000000,2013-10-10 00:00:00.000000000,tab:green,AST,2000-09-11,2013-10-10,4777 days 00:00:00.000000000,-0.5396824481698582,1.6721211961876896
39,Dehecq,Dehecq - CTL,RGI60-14.06821,CTL,0.063,2000-09-11,2013-10-10,-1.4807089504448865,18.724391812676217,-9.328466387802784e-05,0.0011796366841986018,2000-09-11 00:00:00.000000000,2013-10-10 00:00:00.000000000,tab:green,AST,2000-09-11,2013-10-10,4777 days 00:00:00.000000000,-0.11321518613146217,1.4316692714213917
40,Dehecq,Dehecq - CTL,RGI60-14.06822,CTL,0.055999999999999994,2000-09-11,2013-10-10,-4.573919476104241,48.278294810527065,-0.0002561394906618375,0.0027035845093895164,2000-09-11 00:00:00.000000000,2013-10-10 00:00:00.000000000,tab:green,AST,2000-09-11,2013-10-10,4777 days 00:00:00.000000000,-0.34972243848588536,3.6913642829275717
41,Dehecq,Dehecq - CTL,RGI60-14.06823,CTL,0.049,2000-09-11,2013-10-10,-4.2960833948044685,48.80018539540471,-0.00021050808634541897,0.002391209084374831,2000-09-11 00:00:00.000000000,2013-10-10 00:00:00.000000000,tab:green,AST,2000-09-11,2013-10-10,4777 days 00:00:00.000000000,-0.3284790579762052,3.7312681004127213
42,Dehecq,Dehecq - CTL,RGI60-14.06824,CTL,0.069,2000-09-11,2013-10-10,-4.677210155495431,47.34345629352007,-0.0003227275007291848,0.0032666984842528854,2000-09-11 00:00:00.000000000,2013-10-10 00:00:00.000000000,tab:green,AST,2000-09-11,2013-10-10,4777 days 00:00:00.000000000,-0.35762005637318534,3.619886416413692
43,Dehecq,Dehecq - CTL,RGI60-14.06825,CTL,0.242,2000-09-11,2013-10-10,-4.014264875487879,38.22585772413343,-0.0009714520998680664,0.009250657569240291,2000-09-11 00:00:00.000000000,2013-10-10 00:00:00.000000000,tab:green,AST,2000-09-11,2013-10-10,4777 days 00:00:00.000000000,-0.30693117977223106,2.9227537227841185
44,Dehecq,Dehecq - CTL,RGI60-14.06826,CTL,0.057,2000-09-11,2013-10-10,-3.0284493520525517,48.143097592966576,-0.00017262161306699542,0.0027441565627990953,2000-09-11 00:00:00.000000000,2013-10-10 00:00:00.000000000,tab:green,AST,2000-09-11,2013-10-10,4777 days 00:00:00.000000000,-0.23155560515746168,3.681027087257911
45,Dehecq,Dehecq - CTL,RGI60-14.06827,CTL,0.022000000000000002,2000-09-11,2013-10-10,2.1307465565865558,51.300927794463426,4.687642424490423e-05,0.0011286204114781954,2000-09-11 00:00:00.000000000,2013-10-10 00:00:00.000000000,tab:green,AST,2000-09-11,2013-10-10,4777 days 00:00:00.000000000,0.1629171404214443,3.9224751678726744
