,participant,run_id,glacier_id,run_code,S_km2,start_date_yyyy-mm-dd,end_date_yyyy-mm-dd,dh_m,dh_sigma_m,dV_km3,dV_sigma_km3,start_date,end_date,color,sensor,start_date_str,end_date_str,delta_t,dh_dt
57,Sommer,Sommer - CTL,RGI60-11.01698,CTL,9.408999999999999,2011-03-21,2018-09-16,-5.0089999999999995,0.741,-0.047,0.006999999999999999,2011-03-21,2018-09-16,tab:olive,AST,2011-03-21,2018-09-16,2736 days 00:00:00.000000000,-0.6686905153508771
58,Sommer,Sommer - CTL,RGI60-11.01797,CTL,7.428,2011-03-21,2018-09-16,-4.018,0.7659999999999999,-0.03,0.006,2011-03-21,2018-09-16,tab:olive,AST,2011-03-21,2018-09-16,2736 days 00:00:00.000000000,-0.5363941885964912
59,Sommer,Sommer - CTL,RGI60-11.01827,CTL,19.287,2011-03-21,2018-09-16,-8.661,0.7390000000000001,-0.16699999999999998,0.015,2011-03-21,2018-09-16,tab:olive,AST,2011-03-21,2018-09-16,2736 days 00:00:00.000000000,-1.1562245065789474
60,Sommer,Sommer -  CTL,RGI60-11.01346, CTL,18.765,2012-01-19,2017-12-12,-5.89,0.995,-0.111,0.036000000000000004,2012-01-19,2017-12-12,tab:olive,TDX,2012-01-19,2017-12-12,2154 days 00:00:00.000000000,-0.9987569637883008
61,Sommer,Sommer -  CTL,RGI60-11.01450, CTL,82.166,2012-01-19,2017-12-12,-8.854,0.547,-0.728,0.179,2012-01-19,2017-12-12,tab:olive,TDX,2012-01-19,2017-12-12,2154 days 00:00:00.000000000,-1.5013572423398327
62,Sommer,Sommer -  CTL,RGI60-11.01698, CTL,9.408999999999999,2012-01-19,2017-12-12,-4.728,0.7090000000000001,-0.044000000000000004,0.018000000000000002,2012-01-19,2017-12-12,tab:olive,TDX,2012-01-19,2017-12-12,2154 days 00:00:00.000000000,-0.8017186629526463
63,Sommer,Sommer -  CTL,RGI60-11.01797, CTL,7.428,2012-01-19,2017-12-12,-10.687999999999999,0.909,-0.079,0.015,2012-01-19,2017-12-12,tab:olive,TDX,2012-01-19,2017-12-12,2154 days 00:00:00.000000000,-1.812345403899721
64,Sommer,Sommer -  CTL,RGI60-11.01827, CTL,19.287,2012-01-19,2017-12-12,-12.527999999999999,0.852,-0.242,0.040999999999999995,2012-01-19,2017-12-12,tab:olive,TDX,2012-01-19,2017-12-12,2154 days 00:00:00.000000000,-2.124350974930362
65,Wendt,Wendt - CLT,RGI60-11.01450,CLT,82.17299999999999,2013-03-21,2019-01-01,-7.276,0.162,-0.5979,0.07427,2013-03-21,2019-01-01,tab:cyan,TDX,2013-03-21,2019-01-01,2112 days 00:00:00.000000000,-1.2583139204545455
66,Wendt,Wendt - CLT,RGI60-11.01346,CLT,18.773,2013-03-21,2019-01-01,-1.834,0.33899999999999997,-0.03443,0.01184,2013-03-21,2019-01-01,tab:cyan,TDX,2013-03-21,2019-01-01,2112 days 00:00:00.000000000,-0.3171725852272727
67,Wendt,Wendt - CLT,RGI60-11.01689,CLT,9.41,2013-03-21,2019-01-01,-3.174,0.479,-0.029869999999999997,0.008005,2013-03-21,2019-01-01,tab:cyan,TDX,2013-03-21,2019-01-01,2112 days 00:00:00.000000000,-0.5489126420454545
68,Wendt,Wendt - CLT,RGI60-11.01797,CLT,7.428,2013-03-21,2019-01-01,-5.507999999999999,0.539,-0.04091,0.007993,2013-03-21,2019-01-01,tab:cyan,TDX,2013-03-21,2019-01-01,2112 days 00:00:00.000000000,-0.9525553977272726
69,Wendt,Wendt - CLT,RGI60-11.01827,CLT,19.289,2013-03-21,2019-01-01,-9.92,0.33899999999999997,-0.1913,0.015609999999999999,2013-03-21,2019-01-01,tab:cyan,TDX,2013-03-21,2019-01-01,2112 days 00:00:00.000000000,-1.7155681818181818
70,Validation,Validation - Validation,RGI60-11.01346,Validation,18.842, 2011-09-13,2017-09-21,-5.907,0.7809999999999999,-0.111,0.015,2011-09-13,2017-09-21,k,Ref,2011-09-13,2017-09-21,2200 days 00:00:00.000000000,-0.9806962499999999
71,Validation,Validation - Validation,RGI60-11.01450,Validation,82.206, 2011-09-13,2017-09-21,-12.527999999999999,0.7809999999999999,-1.03,0.0642,2011-09-13,2017-09-21,k,Ref,2011-09-13,2017-09-21,2200 days 00:00:00.000000000,-2.079932727272727
72,Validation,Validation - Validation,RGI60-11.01698,Validation,9.402999999999999, 2011-09-13,2017-09-21,-7.9239999999999995,0.7809999999999999,-0.075,0.0073,2011-09-13,2017-09-21,k,Ref,2011-09-13,2017-09-21,2200 days 00:00:00.000000000,-1.3155640909090909
73,Validation,Validation - Validation,RGI60-11.01797,Validation,7.428, 2011-09-13,2017-09-21,-9.412,0.7809999999999999,-0.07,0.0058,2011-09-13,2017-09-21,k,Ref,2011-09-13,2017-09-21,2200 days 00:00:00.000000000,-1.562605909090909
74,Validation,Validation - Validation,RGI60-11.01827,Validation,19.285999999999998, 2011-09-13,2017-09-21,-7.47,0.7809999999999999,-0.14400000000000002,0.0151,2011-09-13,2017-09-21,k,Ref,2011-09-13,2017-09-21,2200 days 00:00:00.000000000,-1.2401897727272726
